symptoms_name,symptoms_description
Kašel,Časté kašlání naznačuje respirační potíže.
Horečka,"Zvýšená teplota, která signalizuje infekci."
Letargie,Snížená aktivita a únava.
Zvracení,"Vystřikování žaludečního obsahu, často při gastrointestinálních potížích."
Průjmy,"Opakované volné stolice, které mohou vést k dehydrataci."
Ztráta chuti k jídlu,Snížená chuť k jídlu u zvířete.
Bolest břicha,Pocity bolesti v břišní oblasti.
Rýma,"Vylučování tekutiny z nosu, indikace respirační infekce."
Zčervenání očí,Oči jsou zarudlé – může jít o zánět či infekci.
Snížené močení,Redukce množství močení jako projev onemocnění.
Křeče,Náhlé svalové křeče či záškuby.
Změna chování,"Neočekávané změny v aktivitě, náladě nebo agresivitě."
Zesílené dýchání,"Rychlé či namáhavé dýchání, často při bolesti nebo stresu."
Kašel suchý,Dráždivý suchý kašel bez hlenu.
Kašel mokrý,Kašel doprovázený produkcí hlenu.
Úbytek hmotnosti,Rychlý úbytek váhy u zvířete.
Nechutenství,Pozoruhodné snížení příjmu potravy.
Zvýšená srdeční frekvence,Rychlejší tep jako reakce na onemocnění.
Změna barvy dásní,"Dásně mohou zbělit, zmodrat nebo zčervenat."
Nadměrné línání,Neobvyklé nebo sezónně nesouvisející línání srsti.
